	Taxonomy	Function	Transcriptome
HCO3	0.146919541446929	0.20200376420884	0.0792818259170119
CO3	0.183814372385445	0.0215870241838494	-0.064649827480692
Carbon.total	0.236403103258462	0.291260074579617	0.108670581077268
Alkalinity.total	0.144627471991245	0.0567627768829129	-0.00520943134489234
NO2	0.0586877532579325	-0.00783112669167225	0.0648249495990141
PO4	0.0915752666109696	0.140206253959583	0.0992163584607572
NO2NO3	0.0658446700322414	0.108108567857778	0.0834720711744789
Si	0.0421480635674311	0.202148604185174	0.129480991764822
Temperature	0.75205896986042	0.691072585506479	0.644718918186415
Salinity	0.231158599256517	0.214952420369863	0.196280596563115
Density	0.155246850414941	0.112274862419191	0.132180193562344
Oxygen	0.669298315766121	0.664575882649407	0.604760792438064
NO3	0.115350749611107	0.151646039426103	0.150057314387242
ChlorophyllA	0.266185302428252	0.398128060897961	0.295216665625668
Fluorescence	0.171500922402205	0.207859807126957	0.10031950095675
PAR.TO	0.0695581396214003	0.0883897424632237	0.0891542147100796
Iron.5m	-0.0152420523176553	-0.0393639261943231	-0.026508538074064
Ammonium.5m	0.143425625341974	0.0812825517334011	0.0473884667534908
Gradient.Surface.temp(SST)	0.195398833306331	0.200156415769623	0.110623084131882
Okubo.Weiss	-0.0347145026618615	-0.101816228323473	-0.0116307396283681
Lyapunov	0.127190494277963	0.0694542637715089	0.00176264229261071
Residence.time	-0.0175377979576974	-0.117917777085153	-0.0557214378631633
Depth.Mixed.Layer	0.0755352719167631	0.167808624495772	0.106543762554262
Brunt.Väisälä	0.0655053156115517	-0.0129279647139734	-0.0421815295657182
Depth.Max.O2	-0.0382863699480081	-0.0630236768693432	-0.0657801492909482
Depth.Min.O2	0.0311566285284838	0.0742400952136713	0.0472228262108299
Nitracline	0.0239089073025191	0.0236131706877941	0.0527617378910244
